loc_id,iso3,location,population
,ABW,Aruba,107359
,AFE,Africa Eastern and Southern,750503764
,AFG,Afghanistan,41454761
,AFW,Africa Western and Central,509398589
,AGO,Angola,36749906
,ALB,Albania,2745972
,AND,Andorra,80856
,ARB,Arab World,481667539
,ARE,United Arab Emirates,10483751
,ARG,Argentina,45538401
,ARM,Armenia,2990900
,ASM,American Samoa,47521
,ATG,Antigua and Barbuda,93316
,AUS,Australia,26658948
,AUT,Austria,9131761
,AZE,Azerbaijan,10153958
,BDI,Burundi,13689450
,BEL,Belgium,11787423
,BEN,Benin,14111034
,BFA,Burkina Faso,23025776
,BGD,Bangladesh,171466990
,BGR,Bulgaria,6446596
,BHR,Bahrain,1577059
,BHS,"Bahamas, The",399440
,BIH,Bosnia and Herzegovina,3185073
,BLR,Belarus,9178298
,BLZ,Belize,411106
,BMU,Bermuda,64698
,BOL,Bolivia,12244159
,BRA,Brazil,211140729
,BRB,Barbados,282336
,BRN,Brunei Darussalam,458949
,BTN,Bhutan,786385
,BWA,Botswana,2480244
,CAF,Central African Republic,5152421
,CAN,Canada,40097761
,CEB,Central Europe and the Baltics,100175859
,CHE,Switzerland,8888093
,CHI,Channel Islands,167691
,CHL,Chile,19658835
,CHN,China,1410710000
,CIV,Cote d'Ivoire,31165654
,CMR,Cameroon,28372687
,COD,"Congo, Dem. Rep.",105789731
,COG,"Congo, Rep.",6182885
,COL,Colombia,52321152
,COM,Comoros,850387
,CPV,Cabo Verde,522331
,CRI,Costa Rica,5105525
,CSS,Caribbean small states,3152394
,CUB,Cuba,11019931
,CUW,Curacao,147862
,CYM,Cayman Islands,73038
,CYP,Cyprus,1344976
,CZE,Czechia,10864042
,DEU,Germany,83280000
,DJI,Djibouti,1152944
,DMA,Dominica,66510
,DNK,Denmark,5946952
,DOM,Dominican Republic,11331265
,DZA,Algeria,46164219
,EAP,East Asia & Pacific (excluding high income),2137527754
,EAR,Early-demographic dividend,3511076811
,EAS,East Asia & Pacific,2384463611
,ECA,Europe & Central Asia (excluding high income),249146208
,ECS,Europe & Central Asia,924969865
,ECU,Ecuador,17980083
,EGY,"Egypt, Arab Rep.",114535772
,EMU,Euro area,349670802
,ERI,Eritrea,3470390
,ESP,Spain,48347910
,EST,Estonia,1370286
,ETH,Ethiopia,128691692
,EUU,European Union,448804042
,FCS,Fragile and conflict affected situations,1058789534
,FIN,Finland,5583911
,FJI,Fiji,924145
,FRA,France,68287487
,FRO,Faroe Islands,54482
,FSM,"Micronesia, Fed. Sts.",112630
,GAB,Gabon,2484789
,GBR,United Kingdom,68350000
,GEO,Georgia,3715483
,GHA,Ghana,33787914
,GIB,Gibraltar,38471
,GIN,Guinea,14405468
,GMB,"Gambia, The",2697845
,GNB,Guinea-Bissau,2153339
,GNQ,Equatorial Guinea,1847549
,GRC,Greece,10405588
,GRD,Grenada,117081
,GRL,Greenland,56865
,GTM,Guatemala,18124838
,GUM,Guam,166506
,GUY,Guyana,826353
,HIC,High income,1400465513
,HKG,"Hong Kong SAR, China",7536100
,HND,Honduras,10644851
,HPC,Heavily indebted poor countries (HIPC),917304254
,HRV,Croatia,3859686
,HTI,Haiti,11637398
,HUN,Hungary,9592186
,IBD,IBRD only,4952574126
,IBT,IDA & IBRD total,6858957145
,IDA,IDA total,1906383019
,IDB,IDA blend,633230238
,IDN,Indonesia,281190067
,IDX,IDA only,1273152781
,IMN,Isle of Man,84165
,IND,India,1438069596
,IRL,Ireland,5307600
,IRN,"Iran, Islamic Rep.",90608707
,IRQ,Iraq,45074049
,ISL,Iceland,393349
,ISR,Israel,9756600
,ITA,Italy,58993475
,JAM,Jamaica,2839786
,JOR,Jordan,11439213
,JPN,Japan,124516650
,KAZ,Kazakhstan,20330104
,KEN,Kenya,55339003
,KGZ,Kyrgyz Republic,7099750
,KHM,Cambodia,17423880
,KIR,Kiribati,132530
,KNA,St. Kitts and Nevis,46758
,KOR,"Korea, Rep.",51712619
,KWT,Kuwait,4853420
,LAC,Latin America & Caribbean (excluding high income),594995068
,LAO,Lao PDR,7664993
,LBN,Lebanon,5773493
,LBR,Liberia,5493031
,LBY,Libya,7305659
,LCA,St. Lucia,179285
,LCN,Latin America & Caribbean,657611624
,LDC,Least developed countries: UN classification,1160824674
,LIC,Low income,736466395
,LIE,Liechtenstein,39850
,LKA,Sri Lanka,22037000
,LMC,Lower middle income,3079778780
,LMY,Low & middle income,6633109634
,LSO,Lesotho,2311472
,LTE,Late-demographic dividend,2326658047
